"tweet","created","favorited","retweeted","dayCreated","nytFlag","cnnFlag","foxFlag"
"Big dinner with Governors tonight at White House. Much to be discussed, including healthcare.",2017-02-26 15:13:52,107257,15906,"Sun",0,0,0
"Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!",2017-02-26 13:16:41,114610,24875,"Sun",0,0,0
"For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp; fairly!",2017-02-26 06:42:39,110885,22066,"Sun",0,1,0
"The race for DNC Chairman was, of course, totally ""rigged."" Bernie's guy, like Bernie himself, never had a chance. Clinton demanded Perez!",2017-02-26 06:33:16,88366,19341,"Sun",0,0,0
"Congratulations to Thomas Perez, who has just been named Chairman of the DNC. I could not be happier for him, or for the Republican Party!",2017-02-25 17:02:22,132615,29277,"Sat",0,0,0
"I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!",2017-02-25 16:53:21,125771,24237,"Sat",0,0,0
"Weekly Address from @WhiteHouse: https://t.co/uaoQSHBOQB https://t.co/7eF6aC6kEC",2017-02-25 13:12:25,46165,10135,"Sat",0,0,0
"Great optimism for future of U.S. business, AND JOBS, with the DOW having an 11th straight record close. Big tax &amp; regulation cuts coming!",2017-02-25 08:27:04,105283,19981,"Sat",0,0,0
"The media has not reported that the National Debt in my first month went down by $12 billion vs a $200 billion increase in Obama first mo.",2017-02-25 08:19:18,203051,62094,"Sat",0,0,0
"Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!",2017-02-25 07:25:24,160690,34978,"Sat",0,0,0
"FAKE NEWS media knowingly doesn't tell the truth. A great danger to our country. The failing @nytimes has become a joke. Likewise @CNN. Sad!",2017-02-24 22:09:18,110335,26638,"Fri",1,1,0
"Trump vows to fight 'epidemic' of human trafficking 
https://t.co/oDLZ2NdrtA",2017-02-24 12:04:19,91751,20232,"Fri",0,0,0
"Going to CPAC!",2017-02-24 08:49:27,72701,9032,"Fri",0,0,0
"find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW",2017-02-24 07:36:34,101878,21877,"Fri",0,0,0
"The FBI is totally unable to stop the national security ""leakers"" that have permeated our government for a long time. They can't even......",2017-02-24 07:31:49,81253,17778,"Fri",0,0,0
"Big interview tonight by Henry Kravis at The Business Council of Washington. Looking forward to it!",2017-02-23 19:06:44,58842,8347,"Thurs",0,0,0
"Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!",2017-02-23 19:01:40,109844,23510,"Thurs",0,0,0
"'S&amp;P 500 Edges Higher After Trump Renews Jobs Pledge' https://t.co/WtrRJVFmvU",2017-02-23 17:53:45,56866,10667,"Thurs",0,0,0
"Very much enjoyed my tour of the Smithsonian's National Museum of African American History and Culture...A great job done by amazing people!",2017-02-22 07:50:56,118196,16415,"Wed",0,0,0
"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!",2017-02-22 07:20:40,80401,12293,"Wed",0,0,0
"The so-called angry crowds in home districts of some Republicans are actually, in numerous cases, planned out by liberal activists. Sad!",2017-02-21 18:23:13,120099,26427,"Tues",0,0,0
"'Americans overwhelmingly oppose sanctuary cities' https://t.co/s5QvsJWA6u",2017-02-21 15:46:42,108560,23948,"Tues",0,0,0
"Congratulations to our new National Security Advisor, General H.R. McMaster. Video: https://t.co/BKn9r225Kk https://t.co/VBXcJ1b6Pv",2017-02-20 19:38:40,95327,16205,"Mon",0,0,0
"Just named General H.R. McMaster National Security Advisor.",2017-02-20 16:00:37,107896,15997,"Mon",0,0,0
"HAPPY PRESIDENTS DAY - MAKE AMERICA GREAT AGAIN!",2017-02-20 09:33:33,246156,49755,"Mon",0,0,0
"Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!",2017-02-20 09:15:42,143577,35528,"Mon",0,0,0
"My statement as to what's happening in Sweden was in reference to a story that was broadcast on @FoxNews concerning immigrants &amp; Sweden.",2017-02-19 16:57:01,114157,26646,"Sun",0,0,1
"Will be having many meetings this weekend at The Southern White House. Big 5:00 P.M. speech in Melbourne, Florida. A lot to talk about!",2017-02-18 08:51:20,100849,15491,"Sat",0,0,0
"Don't believe the main stream (fake news) media.The White House is running VERY WELL. I inherited a MESS and am in the process of fixing it.",2017-02-18 08:31:53,189059,39647,"Sat",0,0,0
"Looking forward to the Florida rally tomorrow. Big crowd expected!",2017-02-17 19:02:58,100638,14378,"Fri",0,0,0
"""One of the most effective press conferences I've ever seen!"" says Rush Limbaugh. Many agree.Yet FAKE MEDIA  calls it differently! Dishonest",2017-02-17 18:15:56,122207,22073,"Fri",0,0,0
"The FAKE NEWS media (failing @nytimes, @NBCNews, @ABC, @CBS, @CNN) is not my enemy, it is the enemy of the American People!",2017-02-17 16:48:22,162686,51203,"Fri",1,1,0
"Join me at 11:00am:
Watch here: https://t.co/veqKmsGAwf https://t.co/UzndIjIqjM",2017-02-17 10:34:14,57388,10058,"Fri",0,0,0
"General Keith Kellogg, who I have known for a long time, is very much in play for NSA - as are three others.",2017-02-17 08:16:22,70730,11137,"Fri",0,0,0
"Thank you for all of the nice statements on the Press Conference yesterday. Rush Limbaugh said one of greatest ever. Fake media not happy!",2017-02-17 06:43:10,153201,26794,"Fri",0,0,0
"Going to Charleston, South Carolina, in order to spend time with Boeing and talk jobs! Look forward to it.",2017-02-17 06:38:20,100552,14533,"Fri",0,0,0
"Despite the long delays by the Democrats in finally approving Dr. Tom Price, the repeal and replacement of ObamaCare is moving fast!",2017-02-17 05:13:32,104441,17434,"Fri",0,0,0
"'Trump signs bill undoing Obama coal mining rule' https://t.co/yMfT5r5RGh",2017-02-16 18:44:54,95094,18976,"Thurs",0,0,0
"The Democrats had to come up with a story as to why they lost the election, and so badly (306), so they made up a story - RUSSIA. Fake news!",2017-02-16 09:39:52,123238,27303,"Thurs",0,0,0
"FAKE NEWS media, which makes up stories and ""sources,"" is far more effective than the discredited Democrats - but they are fading fast!",2017-02-16 09:10:49,100957,20171,"Thurs",0,0,0
"The spotlight has finally been put on the low-life leakers! They will be caught!",2017-02-16 07:02:59,128262,25605,"Thurs",0,0,0
"Leaking, and even illegal classified leaking, has been a big problem in Washington for years. Failing @nytimes (and others) must apologize!",2017-02-16 06:58:43,91156,17344,"Thurs",0,1,0
"Stock market hits new high with longest winning streak in decades. Great level of confidence and optimism - even before tax plan rollout!",2017-02-16 06:34:46,129706,24033,"Thurs",0,0,0
"Venezuela should allow Leopoldo Lopez, a political prisoner &amp; husband of @liliantintori (just met w/ @marcorubio) o… https://t.co/HhgE51dtSN",2017-02-15 18:59:26,110162,53174,"Wed",0,0,0
"Aetna CEO: Obamacare in 'Death Spiral' #RepealAndReplace 
https://t.co/dmHL7xIEQv",2017-02-15 16:34:05,59597,14775,"Wed",0,0,0
"Join me in Florida this Saturday at 5pm for a rally at the Orlando-Melbourne International Airport!
Tickets:… https://t.co/OigfXFECPp",2017-02-15 14:45:16,73249,18094,"Wed",0,0,0
"Welcome to the United States, @IsraeliPM Benjamin &amp; Sara!
#ICYMI<ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8><ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00B1>Joint Press Conference: 
https://t.co/GN6ALWUusN https://t.co/bH60nBL5FP",2017-02-15 14:17:59,75525,14410,"Wed",0,0,0
"Great listening session with CEO's of the Retail Industry Leaders Association this morning! https://t.co/sy6xJcWfcF",2017-02-15 11:34:27,66988,10819,"Wed",0,0,0
"The real scandal here is that classified information is illegally given out by ""intelligence"" like candy. Very un-American!",2017-02-15 08:13:10,128613,29056,"Wed",0,0,0
"Crimea was TAKEN by Russia during the Obama Administration. Was Obama too soft on Russia?",2017-02-15 07:42:20,102387,25737,"Wed",0,0,0
"Thank you to Eli Lake of The Bloomberg View - ""The NSA &amp; FBI...should not interfere in our politics...and is"" Very serious situation for USA",2017-02-15 07:28:37,78957,16597,"Wed",0,0,0
"Information is being illegally given to the failing @nytimes &amp; @washingtonpost by the intelligence community (NSA and FBI?).Just like Russia",2017-02-15 07:19:18,81691,21440,"Wed",0,1,0
"This Russian connection non-sense is merely an attempt to cover-up the many mistakes made in Hillary Clinton's losing campaign.",2017-02-15 07:08:12,119867,27934,"Wed",0,0,0
"The fake news media is going crazy with their conspiracy theories and blind hatred. @MSNBC &amp; @CNN are unwatchable. @foxandfriends is great!",2017-02-15 06:40:32,106181,26255,"Wed",1,0,0
"Obamacare continues to fail. Humana to pull out in 2018. Will repeal, replace &amp; save healthcare for ALL Americans. 
https://t.co/glWEQ0lNR4",2017-02-14 17:50:33,89260,18148,"Tues",0,0,0
"'Remarks by President Trump at Signing of H.J. Resolution 41'
https://t.co/Q3MoCGAc54 https://t.co/yGDDTKm9Br",2017-02-14 16:48:10,46665,8588,"Tues",0,0,0
"Great parent-teacher listening session this morning with @VP Pence &amp; @usedgov Secretary @BetsyDeVos. Watch:… https://t.co/nuLTs513Ot",2017-02-14 15:21:59,59755,11449,"Tues",0,0,0
"The real story here is why are there so many illegal leaks coming out of Washington? Will these leaks be happening as I deal on N.Korea etc?",2017-02-14 09:28:54,113195,26976,"Tues",0,0,0
"Congratulations to our new #VASecretary Dr. David Shulkin. Time to take care of Veterans who have fought to protect… https://t.co/FNewjbHuw4",2017-02-13 22:30:45,92210,16482,"Mon",0,0,0
"Congratulations Treasury Secretary Steven Mnuchin! #ICYMI- watch here: https://t.co/RPsmw4yD7y https://t.co/K8tWLlXiYK",2017-02-13 21:57:05,64836,11071,"Mon",0,0,0
"Wonderful meeting with Canadian PM @JustinTrudeau and a group of leading CEO's &amp; business women from Canada<ed><U+00A0><U+00BC><ed><U+00B7><U+00A8><ed><U+00A0><U+00BC><ed><U+00B7><U+00A6>and th… https://t.co/wAoCOaYeZ6",2017-02-13 13:50:57,86631,15674,"Mon",0,0,0
"Welcome to the @WhiteHouse Prime Minister @JustinTrudeau! https://t.co/WKgF8Zo9ri",2017-02-13 11:59:06,85979,13692,"Mon",0,0,0
"Today I will meet with Canadian PM Trudeau and a group of leading business women to discuss women in the workforce. https://t.co/bFAHPRXHdP",2017-02-13 10:53:08,75323,11929,"Mon",0,0,0
"Just leaving Florida. Big crowds of enthusiastic supporters lining the road that the FAKE NEWS media refuses to mention. Very dishonest!",2017-02-12 17:19:05,143836,25924,"Sun",0,0,0
"Congratulations Stephen Miller- on representing me this morning on the various Sunday morning shows. Great job!",2017-02-12 10:41:55,104629,16237,"Sun",0,0,0
"I know Mark Cuban well. He backed me big-time but I wasn't interested in taking all of his calls.He's not smart enough to run for president!",2017-02-12 08:23:18,83712,15556,"Sun",0,0,0
"After two days of very productive talks, Prime Minister Abe is heading back to Japan. L",2017-02-12 08:04:49,84207,13421,"Sun",0,0,0
"While on FAKE NEWS @CNN, Bernie Sanders was cut off for using the term fake news to describe the network. They said technical difficulties!",2017-02-12 07:14:16,115130,25518,"Sun",1,0,0
"72% of refugees admitted into U.S. (2/3 -2/11) during COURT BREAKDOWN are from 7 countries: SYRIA, IRAQ, SOMALIA, IRAN, SUDAN, LIBYA &amp; YEMEN",2017-02-12 06:55:10,81944,22899,"Sun",0,0,0
"The crackdown on illegal criminals is merely the keeping of my campaign promise. Gang members, drug dealers &amp; others are being removed!",2017-02-12 06:34:45,151005,29961,"Sun",0,0,0
"#ICYMI: Joint Statement with Prime Minister Shinzo Abe on North Korea. https://t.co/qEC87FKB1D",2017-02-12 00:02:01,63312,14982,"Sun",0,0,0
"A working dinner tonight with Prime Minister Abe of Japan, and his representatives, at the Winter White House (Mar-a-Lago). Very good talks!",2017-02-11 18:24:08,99144,14117,"Sat",0,0,0
"Played golf today with Prime Minister Abe of Japan and @TheBig_Easy, Ernie Els, and had a great time. Japan is very well represented!",2017-02-11 18:15:34,85521,13557,"Sat",0,0,0
"I am so proud of my daughter Ivanka. To be abused and treated so badly by the media, and to still hold her head so high, is truly wonderful!",2017-02-11 18:00:21,210501,28911,"Sat",0,0,0
"Having a great time hosting Prime Minister Shinzo Abe in the United States! 
https://t.co/Fvjsac89qS… https://t.co/hKqbMB2aQ9",2017-02-11 13:28:31,93843,17290,"Sat",0,0,0
"Melania and I are hosting Japanese Prime Minister Shinzo Abe and Mrs. Abe at Mar-a-Lago in Palm Beach, Fla. They are a wonderful couple!",2017-02-11 08:33:53,122119,17252,"Sat",0,0,0
"...design or negotiations yet. When I do, just like with the F-35 FighterJet or the Air Force One Program, price will come WAY DOWN!",2017-02-11 08:24:32,85170,13145,"Sat",0,0,0
"I am reading that the great border WALL will cost more than the government originally thought, but I have not gotten involved in the.....",2017-02-11 08:18:43,78364,14263,"Sat",0,0,0
"Our legal system is broken! ""77% of refugees allowed into U.S. since travel reprieve hail from seven suspect countries."" (WT)  SO DANGEROUS!",2017-02-11 07:12:51,102782,23345,"Sat",0,0,0
"Heading to Joint Base Andrews on #MarineOne with Prime Minister Shinzo earlier today. https://t.co/4JFhyYdeHO",2017-02-10 18:24:51,163621,42135,"Fri",0,0,0
"The failing @nytimes does major FAKE NEWS China story saying ""Mr.Xi has not spoken to Mr. Trump since Nov.14."" We spoke at length yesterday!",2017-02-10 08:35:50,108916,24162,"Fri",0,1,0
"LAWFARE: ""Remarkably, in the entire opinion, the panel did not bother even to cite this (the) statute."" A disgraceful decision!",2017-02-10 08:15:27,90768,17813,"Fri",0,0,0
"SEE YOU IN COURT, THE SECURITY OF OUR NATION IS AT STAKE!",2017-02-09 18:35:49,240595,67660,"Thurs",0,0,0
"Join us live in the Oval Office for the swearing in of our new Attorney General, @SenatorSessions!
LIVE:… https://t.co/QeW6vjog4A",2017-02-09 10:58:01,72287,10937,"Thurs",0,0,0
"..Ryan died on a winning mission ( according to General Mattis), not a ""failure."" Time for the U.S. to get smart and start winning again!",2017-02-09 08:52:31,92637,15161,"Thurs",0,0,0
"...long he doesn't know how to win anymore, just look at the mess our country is in - bogged down in conflict all over the place. Our hero..",2017-02-09 08:31:59,69180,11995,"Thurs",0,0,0
"Sen. McCain should not be talking about the success or failure of a mission to the media. Only emboldens the enemy! He's been losing so....",2017-02-09 08:26:07,87214,16038,"Thurs",0,0,0
"Chris Cuomo, in his interview with Sen. Blumenthal, never asked him about his long-term lie about his brave ""service"" in Vietnam. FAKE NEWS!",2017-02-09 08:19:08,75016,15141,"Thurs",0,0,0
"Sen.Richard Blumenthal, who never fought in Vietnam when he said for years he had (major lie),now misrepresents what Judge Gorsuch told him?",2017-02-09 06:57:59,86246,19689,"Thurs",0,0,0
"Congratulations to our new Attorney General, @SenatorSessions! https://t.co/e0buP1K83z",2017-02-08 20:05:53,165865,33170,"Wed",0,0,0
"'Trump administration seen as more truthful than news media'
https://t.co/6LmsR5JOSW",2017-02-08 17:07:18,89480,17947,"Wed",0,0,0
"'Majority in Leading EU Nations Support Trump-Style Travel Ban' 
Poll of more than 10,000 people in 10 countries...https://t.co/KWsIWhtC9o",2017-02-08 16:46:14,84424,22166,"Wed",0,0,0
"'Immigration Ban Is One Of Trump's Most Popular Orders So Far' https://t.co/wAelwuQ4BE",2017-02-08 14:39:51,124710,30879,"Wed",0,0,0
"Thank you Brian Krzanich, CEO of @Intel. A great investment ($7 BILLION) in American INNOVATION and JOBS!… https://t.co/oicfDsPKHQ",2017-02-08 14:22:33,99266,22376,"Wed",0,0,0
"Big increase in traffic into our country from certain areas, while our people are far more vulnerable, as we wait for what should be EASY D!",2017-02-08 12:41:09,90037,17836,"Wed",0,0,0
"'16 Fake News Stories Reporters Have Run Since Trump Won' https://t.co/0dHld5kiVc",2017-02-08 10:54:01,65332,19446,"Wed",0,0,0
"My daughter Ivanka has been treated so unfairly by @Nordstrom. She is a great person -- always pushing me to do the right thing! Terrible!",2017-02-08 10:51:01,144586,27697,"Wed",0,0,0
"Thank you to our great Police Chiefs &amp; Sheriffs for your leadership &amp; service. You have a true friend in the… https://t.co/Lysnv8ZR1h",2017-02-08 10:23:29,91371,16394,"Wed",0,0,0
"I will be speaking at 9:00 A.M. today to Police Chiefs and Sheriffs and will be discussing the horrible, dangerous and wrong decision.......",2017-02-08 08:04:47,76171,11015,"Wed",0,0,0
"If the U.S. does not win this case as it so obviously should, we can never have the security and safety to which we are entitled. Politics!",2017-02-08 07:03:18,116812,22620,"Wed",0,0,0
"It is a disgrace that my full Cabinet is still not in place, the longest such delay in the history of our country. Obstruction by Democrats!",2017-02-07 20:04:00,159974,37032,"Tues",0,0,0
"An honor having the National Sheriffs' Assoc. join me at the @WhiteHouse. Incredible men &amp; women who protect &amp; serv… https://t.co/1LkhbCNh8L",2017-02-07 11:25:13,109787,18659,"Tues",0,0,0
"I don't know Putin, have no deals in Russia, and the haters are going crazy - yet Obama can make a deal with Iran, #1 in terror, no problem!",2017-02-07 07:11:29,191448,51385,"Tues",0,0,0
"The threat from radical Islamic terrorism is very real, just look at what is happening in Europe and the Middle-East. Courts must act fast!",2017-02-06 21:49:28,148355,33236,"Mon",0,0,0
"The failing @nytimes was forced to apologize to its subscribers for the poor reporting it did on my election win. Now they are worse!",2017-02-06 21:33:55,93573,16756,"Mon",0,1,0
"An extended interview from the Super Bowl with @oreillyfactor airs tonight at 8:00 P.M. Enjoy! https://t.co/kZdHqaNTVR",2017-02-06 18:33:52,54402,8207,"Mon",0,0,0
"The failing @nytimes writes total fiction concerning me. They have gotten it wrong for two years, and now are making up stories &amp; sources!",2017-02-06 11:32:24,98421,19667,"Mon",0,1,0
"I call my own shots, largely based on an accumulation of data, and everyone knows it. Some FAKE NEWS media, in order to marginalize, lies!",2017-02-06 07:07:55,127634,24457,"Mon",0,0,0
"Any negative polls are fake news, just like the CNN, ABC, NBC polls in the election. Sorry, people want border security and extreme vetting.",2017-02-06 07:01:53,164650,36972,"Mon",0,0,0
"What an amazing comeback and win by the Patriots. Tom Brady, Bob Kraft and Coach B are total winners. Wow!",2017-02-05 22:36:54,271824,74654,"Sun",0,0,0
"Enjoy the #SuperBowl and then we continue: MAKE AMERICA GREAT AGAIN!",2017-02-05 17:49:42,188087,37356,"Sun",0,0,0
"I have instructed Homeland Security to check people coming into our country VERY CAREFULLY. The courts are making the job very difficult!",2017-02-05 15:42:33,149533,29034,"Sun",0,0,0
"Just cannot  believe a judge would put our country in such peril. If something happens blame him and court system. People pouring in. Bad!",2017-02-05 15:39:05,140610,29654,"Sun",0,0,0
"The judge opens up our country to potential terrorists and others that do not have our best interests at heart. Bad people are very happy!",2017-02-04 19:48:12,131950,28686,"Sat",0,0,0
"Interview with @oreillyfactor on Fox Network - 4:00 P.M. (prior to Super Bowl). Enjoy!",2017-02-04 19:34:50,72098,11564,"Sat",0,0,0
"Why aren't the lawyers looking at and using the Federal Court decision in Boston, which is at conflict with ridiculous lift ban decision?",2017-02-04 18:37:59,99221,18200,"Sat",0,0,0
