"tweet","created","favorited","retweeted","dayCreated"
"Tune in to @FoxNews tonight at 10 p.m. ET as I sit down w/ @seanhannity to discuss the need for an up or down vote… https://t.co/LXqFtM0SQe",2017-02-02 18:32:22,7755,1687,"Thurs"
"After Munich I'll head to Brussels, where I look forward to engaging with European Allies &amp; partners &amp; discussing how to strengthen our ties",2017-02-02 18:10:23,10681,1961,"Thurs"
"In meeting w/ Minister Gabriel, I told him I'll attend Munich Security Conference, where I'll share our views on Transatlantic relationship.",2017-02-02 18:08:51,6238,1189,"Thurs"
"This #BlackHistoryMonth, join us in celebrating the contributions of African Americans in our nation's history. https://t.co/b6mQ0z8pVw",2017-02-02 17:06:11,4181,936,"Thurs"
"Honored to welcome German Vice Chancellor &amp; Min. for Foreign Affairs Gabriel to the White House today to discuss NA… https://t.co/V5o4SQIfGa",2017-02-02 16:11:34,8695,1769,"Thurs"
".@POTUS and I enjoyed welcoming @harleydavidson execs &amp; union leaders to the @WhiteHouse to discuss keeping America… https://t.co/jkzcf5fFyt",2017-02-02 15:24:30,13885,3423,"Thurs"
"As #BlackHistoryMonth begins, we remember when Pres. Lincoln submitted the 13th Amendment, ending slavery, to the states #NationalFreedomDay",2017-02-01 21:00:12,14318,3841,"Wed"
"It is my tremendous honor to join @POTUS to administer Oath of Office to our new Secretary of State Rex Tillerson. https://t.co/teKslOorCw",2017-02-01 19:19:46,13030,3066,"Wed"
"Dorothy Height, an inspiring civil rights leader, will be honored in the @USPS Black Heritage stamp series.… https://t.co/gGvcWp2MmX",2017-02-01 18:01:36,5490,1313,"Wed"
"Tune in to @NewsHour tonight as I sit down with @JudyWoodruff to discuss @POTUS' SCOTUS nominee. Watch the intervie… https://t.co/HAJXz4Ru3o",2017-02-01 16:46:54,4080,829,"Wed"
"Grateful for @SenateMajLdr's strong support for President @realDonaldTrump's Supreme Court nominee, Judge Gorsuch. https://t.co/qngrd3mnoD",2017-02-01 15:58:09,8658,1594,"Wed"
"Supreme Court nominee Judge Gorsuch firmly stands as a strict constructionist, fitting the mold of the late Justice Antonin Scalia.",2017-01-31 20:21:10,13922,2845,"Tues"
"Judge Gorsuch is one of the most mainstream, respected, and exceptionally qualified Supreme Court nominees in American history.",2017-01-31 20:15:39,19688,4325,"Tues"
"Tonight, @POTUS nominated a Supreme Court Justice who will uphold the God-given liberties enshrined in our constitu… https://t.co/KArN4gfRnM",2017-01-31 20:13:34,11602,2450,"Tues"
"Tune in LIVE now as @realDonaldTrump announces his nominee for the Supreme Court of the United States —&gt; https://t.co/yya8lPI0nb",2017-01-31 20:02:03,4085,525,"Tues"
"Congrats to newly sworn-in @USDOT Secretary @ElaineChao, who will oversee historic investments in our nation's infr… https://t.co/4lqyODD1ny",2017-01-31 19:33:59,7899,1749,"Tues"
"Grateful to welcome King Abdullah II of Jordan this morning as first foreign leader to visit VP Residence. https://t.co/LXjWcD8jRi",2017-01-30 15:20:25,32737,7887,"Mon"
"We mourn the loss of a hero in battle against radical Islamic terror. Our prayers go to loved ones of fallen servic… https://t.co/0aqNcwOXyG",2017-01-29 14:17:45,22034,8431,"Sun"
"Good discussion this afternoon with two transformative leaders of the conservative movement, Gov @ScottWalker &amp; Spe… https://t.co/U6HUTbJpl5",2017-01-28 16:24:05,7737,1798,"Sat"
"Welcomed my good friend Governor @EricGreitens to the White House today. He is doing a great job for the people of… https://t.co/JnIHfT9K6W",2017-01-28 13:52:11,23306,4363,"Sat"
"This #HolocaustRemembrance Day, we join the Jewish people to remember the victims &amp; honor the survivors of the past for sake of the future.",2017-01-27 17:26:49,10084,2446,"Fri"
"It was my honor to speak at the @March_for_Life today w/ my family &amp; share the commitment of @POTUS to restore cult… https://t.co/edIXEnPKSw",2017-01-27 13:56:53,32647,8297,"Fri"
"We have come to a historic moment in the cause of life, and we must meet this moment with respect and compassion for every American.",2017-01-27 12:24:49,21510,4016,"Fri"
".@POTUS and I stand with the @March_for_Life. Be assured, we will not rest until we restore a culture of life for ourselves &amp; our posterity.",2017-01-27 12:24:14,18800,4179,"Fri"
"Let this movement be known for love not anger - for compassion not confrontation. #MarchforLife",2017-01-27 12:23:35,29095,8014,"Fri"
"One week ago today, we witnessed the historic inauguration of a president who stands for the right to life - President @realDonaldTrump.",2017-01-27 12:18:59,14374,2358,"Fri"
"Life is winning in America. Today's @March_for_Life is a celebration of the progress that we have made in the cause.",2017-01-27 12:17:33,15013,3046,"Fri"
"WATCH LIVE now as @SecondLady, @KellyannePolls and I take the stage at @March_for_Life https://t.co/RWlC2fykKI",2017-01-27 12:08:59,3888,888,"Fri"
