"tweet","created","favorited","retweeted","dayCreated"
"Enjoyed a discussion with small business owners in Cincinnati about @POTUS agenda to create jobs, grow our economy,… https://t.co/VyLLCdFM5k",2017-03-02 12:49:25,4137,727,"Thurs"
"Arriving on Air Force Two in Cincinnati, OH with @SecPriceMD to discuss with small biz owners why Obamacare needs t… https://t.co/UDB0gFr5Tm",2017-03-02 11:34:32,6799,1227,"Thurs"
"Enjoyed my time on @OReillyFactor to discuss @POTUS Trump's forward-looking message of unity and strength at last n… https://t.co/Ayu2td40U8",2017-03-01 21:29:07,5176,677,"Wed"
"With a sterling record of service, @POTUS and I know Ryan Zinke will protect America’s natural treasures as our new… https://t.co/2LrGlo9GEh",2017-03-01 20:35:22,7048,1291,"Wed"
"Join me on @MSNBC with @Greta as we recap @POTUS Trump's message at last night's #JointAddress https://t.co/U56SOnsZ9M",2017-03-01 18:10:29,4009,559,"Wed"
"This #WomensHistoryMonth, we celebrate America's storied history of female trailblazers and vow to empower those wh… https://t.co/UNKpNCzXYh",2017-03-01 17:39:24,5998,1222,"Wed"
"We welcomed House and Senate leadership to the @WhiteHouse to continue to put into practice the agenda @POTUS laid… https://t.co/HDzdetJ2De",2017-03-01 13:58:25,6871,1294,"Wed"
"Join me on air this afternoon with @RushLimbaugh, @ASavageNation &amp; @SeanHannity as we discuss @POTUS' message at last night's #JointAddress.",2017-03-01 13:40:03,4706,749,"Wed"
"I'm recapping @POTUS Trump's #JointAddress with @IngrahamAngle LIVE now on The Laura Ingraham Show. Tune in! https://t.co/w1alOVKkgM",2017-03-01 09:11:49,5222,777,"Wed"
"Had time between interviews this morning to show @LesterHoltNBC, @NorahODonnell, and crew my office, including Tedd… https://t.co/YRCQPCqdQh",2017-03-01 09:00:45,4537,690,"Wed"
"Join me LIVE with @Morning_Joe, @GMA, @TheTodayShow, @CBSThisMorning and @FoxAndFriends as we recap @POTUS Trump's optimistic #JointAddress",2017-03-01 06:01:20,3830,519,"Wed"
".@POTUS showed true leadership in his #JointAddress—laying out an agenda of tax relief, affordable healthcare &amp; commitment to peace &amp; safety",2017-02-28 22:17:14,29123,5245,"Tues"
"Karen and I on our way to hear @POTUS speak directly to America about his optimistic vision. WATCH:… https://t.co/zSfjKAM9Vv",2017-02-28 20:46:30,16084,2251,"Tues"
"Joined @POTUS this morning in welcoming state Attorneys General to the @WhiteHouse to emphasize law and order throu… https://t.co/UnjUoNV9cD",2017-02-28 19:19:21,4396,863,"Tues"
".@CommerceGov Secretary Ross will take a leading role in implementing @POTUS plan to foster growth &amp; create good-pa… https://t.co/TYFwO7hdYE",2017-02-28 12:24:15,5158,1067,"Tues"
"This #BlackHistoryMonth, @POTUS &amp; I thank the presidents of our Historically Black Colleges &amp; Universities for thei… https://t.co/afLvD2Ud0T",2017-02-27 18:12:56,5791,1277,"Mon"
"Grateful to welcome the nation's governors over the last several days, including @GovHolcomb and @GovAbbott, to dis… https://t.co/yyg9Iarm17",2017-02-27 13:18:46,6527,1236,"Mon"
"With boundless confidence in the American people, I know that under the leadership of @POTUS Trump, we will Make America Great Again. #RJC",2017-02-24 23:18:18,9618,1786,"Fri"
"Now, more than ever, we need to mobilize and march forward as if this time is the most important time in the history of our cause. #RJC",2017-02-24 23:14:06,8841,1624,"Fri"
"When it comes to the highest court in the land, in Judge Gorsuch, @POTUS nominated a #SCOTUS justice who will uphold our Constitution. #RJC",2017-02-24 23:12:38,6978,1175,"Fri"
"We’ll enact real education reform that gives families more choices &amp; ends a broken system that puts status quo ahead of student success #RJC",2017-02-24 23:12:24,6847,1075,"Fri"
"We’re going to roll back job-killing regulations and we’re going to rescind unconstitutional executive orders signed by Barack Obama. #RJC",2017-02-24 23:12:11,8179,1384,"Fri"
"Under @POTUS, we’re going to get this economy moving by cutting taxes for working families, small businesses, and family farms. #RJC",2017-02-24 23:11:57,6284,1055,"Fri"
"Despite the left's fear-mongering, we'll have an orderly transition to a better health care system that puts the American people first. #RJC",2017-02-24 23:11:42,8540,1558,"Fri"
"We'll replace ObamaCare with something that actually works–something that’s built on freedom and individual responsibility. #RJC",2017-02-24 23:11:08,7227,1128,"Fri"
"We’re going to repeal ObamaCare once and for all, and eliminate its mandates, taxes, and intrusion into your businesses and your lives. #RJC",2017-02-24 23:10:28,7656,1127,"Fri"
"The ObamaCare nightmare is about to end. Despite the best efforts of liberal activists, Americans know better: ObamaCare must go. #RJC",2017-02-24 23:09:15,7865,1315,"Fri"
".@POTUS Trump has convinced businesses across the country to keep and create tens of thousands of jobs here at home. #RJC",2017-02-24 23:08:49,5604,872,"Fri"
".@POTUS has ordered every federal agency and department to find two regulations to cut before issuing a new one. #RJC",2017-02-24 23:08:31,5154,797,"Fri"
".@POTUS Trump has already taken action that’s putting America back to work and getting our economy moving. #RJC",2017-02-24 23:08:16,5071,739,"Fri"
"While @POTUS focuses on security at home and abroad, we’re also working tirelessly on a three-part agenda at home: jobs, jobs, &amp; jobs. #RJC",2017-02-24 23:07:55,4982,733,"Fri"
"We'll rebuild our military, restore the arsenal of democracy, &amp; provide our servicemen &amp; women with the resources &amp; training they need. #RJC",2017-02-24 23:06:17,6135,941,"Fri"
"Hello, @CPAC. It’s great to be back. We will see you soon. #CPAC2017 https://t.co/q6YcIFbiBC",2017-02-23 19:40:07,5545,819,"Thurs"
"We hosted some of the country’s largest manufacturers for small working group sessions to discuss the need to boost… https://t.co/djjaD9krGe",2017-02-23 11:57:24,17576,3699,"Thurs"
"Inspiring day in Missouri. Thank you Governor @EricGreitens, @RepAnnWagner, @RepBlainePress, and the good people of… https://t.co/2dNeA8odin",2017-02-22 17:07:51,6815,1318,"Wed"
"MO's people are inspiring the nation w/ their compassion for the Jewish community. Thank you for showing the world… https://t.co/fFM1xfnk32",2017-02-22 16:45:01,11136,3045,"Wed"
"There's no place in America for hatred or acts of prejudice, violence, or anti-semitism. https://t.co/Flbm88l1Us",2017-02-22 16:44:14,10254,2438,"Wed"
"As @POTUS likes to say, with boundless faith in the American people &amp; with faith in God, we will make America safe, prosperous &amp; great again",2017-02-22 15:09:36,12924,2734,"Wed"
"We're going to #HireAmerican and we're going to #BuyAmerican as we rebuild this country with American workers and American tools.",2017-02-22 15:06:07,8837,1695,"Wed"
"We elected a builder as the 45th President of the United States—and under his leadership, we're going to rebuild America.",2017-02-22 15:05:08,14908,3105,"Wed"
".@POTUS &amp; I are committed to creating a better health care plan that lowers the cost of insurance, unleashes innovation &amp; puts people first.",2017-02-22 15:04:01,7523,1196,"Wed"
"ObamaCare will be replaced with something that actually works—bringing freedom and individual responsibility back to American health care.",2017-02-22 15:03:08,10044,2006,"Wed"
"ObamaCare is a job killer. We'll repeal ObamaCare once and for all &amp; eliminate its mandates, taxes &amp; intrusion into businesses &amp; your lives.",2017-02-22 15:01:58,9840,1974,"Wed"
"The ObamaCare nightmare is about to end. Despite the best efforts of liberal activists around the country, America knows ObamaCare's failed.",2017-02-22 15:00:31,10592,2247,"Wed"
"Businesses are already reacting to @POTUS Trump's ""Buy American, Hire American"" vision with optimism and investment in our country.",2017-02-22 14:59:35,5884,932,"Wed"
".@POTUS has signed legislation to begin to roll back the reams of red tape and regulations issued under the Obama administration.",2017-02-22 14:59:05,5852,984,"Wed"
"On Day One, @POTUS went right to work on a plan to cut taxes for working families, small businesses, and family farms.",2017-02-22 14:58:16,6297,1024,"Wed"
".@POTUS Trump and I know that when small business is strong, America is strong.",2017-02-22 14:57:31,6590,1102,"Wed"
"We know that small businesses are the engines of our economy—the beating heart that creates jobs and prosperity and growth.",2017-02-22 14:57:12,5844,969,"Wed"
"Make no mistake about it: America finally has a President who will support small businesses every single day.",2017-02-22 14:56:13,9579,1766,"Wed"
"LISTEN LIVE now as I join hardworking Americans in Missouri to discuss America's economic comeback: https://t.co/VgPq0m37zR",2017-02-22 14:50:36,5063,901,"Wed"
"Honored to meet in St Louis today with some of the hardworking Americans <ed><U+00A0><U+00BC><ed><U+00B7><U+00BA><ed><U+00A0><U+00BC><ed><U+00B7><U+00B8> who keep the machines running that help… https://t.co/TKy8s7i4nw",2017-02-22 14:38:27,5101,873,"Wed"
"Meeting with small business leaders in St Louis hearing their stories how federal regulations of the past and Obama… https://t.co/vKb4ibM58Q",2017-02-22 14:18:50,5265,1119,"Wed"
"Next stop St. Louis to discuss @POTUS Trump's plans to help small businesses, create jobs &amp; repeal/replace Obamacar… https://t.co/yx6Ab1Z0Jw",2017-02-22 10:48:14,9307,1604,"Wed"
"Pleased to welcome Foreign Minister @JulieBishopMP to the @WhiteHouse today to reaffirm close ties with our ally, p… https://t.co/ADVd3sl2XD",2017-02-21 17:48:02,6976,1348,"Tues"
"Told @NATO today: nations meeting  spending goals- encourage others. Nations w/ plan to get there-accelerate it. Nations w/o plan- get one!",2017-02-20 13:54:24,5717,1096,"Mon"
"Message to @NATO members in Brussels. @POTUS &amp; the American people expect our allies to keep their word and do more in our common defense.",2017-02-20 13:51:53,6546,1331,"Mon"
"America will continue to do our part but Europe's defense requires Europe's commitment as much as it does ours.",2017-02-20 13:51:19,9749,1872,"Mon"
"As @POTUS Trump has said: for too long, too many in @NATO haven't done their part to fairly pay the cost of our common defense.",2017-02-20 13:49:49,7391,1523,"Mon"
"Productive meeting with @jensstoltenberg. Under @POTUS, the U.S. strongly supports @NATO because a stronger NATO me… https://t.co/KVlEdsSkw2",2017-02-20 11:13:29,5183,1007,"Mon"
"Join me LIVE soon at @NATO Headquarters with Secretary General @jensstoltenberg —&gt; https://t.co/KEZ5XBtqfw",2017-02-20 10:15:40,2854,495,"Mon"
"On behalf of President Trump today I expressed the strong commitment of the US to continued cooperation and partner… https://t.co/jLlzjj6Plm",2017-02-20 07:47:13,7055,1152,"Mon"
